PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,TOV,REB,PLUS_MINUS
1628436,Luke Kornet,BOS,29.0,73,18.6,6.0,2.6,3.8,0.668,0.0,0.0,0.0,0.9,1.3,0.691,1.6,0.4,5.3,5.5
1631103,Malaki Branham,SAS,22.0,47,9.1,5.0,1.9,4.0,0.458,0.7,1.8,0.405,0.6,0.7,0.818,0.8,0.7,1.1,-0.7
1627736,Malik Beasley,DET,28.0,82,27.8,16.3,5.6,13.1,0.43,3.9,9.3,0.416,1.2,1.7,0.679,1.7,1.0,2.6,2.1
1628370,Malik Monk,SAC,27.0,65,31.6,17.2,6.3,14.4,0.439,2.1,6.6,0.325,2.4,2.7,0.865,5.6,2.4,3.8,1.8
1631204,Marcus Sasser,DET,24.0,57,14.2,6.6,2.4,5.2,0.463,1.0,2.7,0.382,0.8,0.9,0.843,2.3,0.9,1.2,0.7
1631109,Mark Williams,CHA,23.0,44,26.6,15.3,6.1,10.2,0.604,0.0,0.1,0.0,3.0,3.7,0.804,2.5,1.6,10.2,-6.8
203486,Mason Plumlee,PHX,35.0,74,17.6,4.5,1.7,2.7,0.619,0.0,0.1,0.0,1.1,1.7,0.648,1.8,0.8,6.1,0.7
1641824,Matas Buzelis,CHI,20.0,80,18.9,8.6,3.2,6.9,0.454,1.2,3.3,0.361,1.1,1.4,0.815,1.0,0.9,3.5,-0.4
1631108,Max Christie,DAL,22.0,78,27.3,9.6,3.2,7.6,0.427,1.5,4.0,0.366,1.7,1.9,0.855,1.9,1.1,3.3,-1.1
1629622,Max Strus,CLE,29.0,50,25.5,9.4,3.3,7.5,0.442,2.3,5.9,0.386,0.6,0.7,0.824,3.2,1.1,4.3,4.4
1629008,Michael Porter Jr.,DEN,27.0,77,33.7,18.2,6.9,13.6,0.504,2.5,6.4,0.395,1.9,2.5,0.768,2.1,1.4,7.0,3.4
1628969,Mikal Bridges,NYK,28.0,82,37.0,17.6,7.2,14.4,0.5,2.0,5.6,0.354,1.2,1.4,0.814,3.7,1.6,3.2,4.1
201144,Mike Conley,MIN,37.0,71,24.7,8.2,2.6,6.6,0.4,1.8,4.4,0.41,1.1,1.3,0.9,4.5,1.1,2.6,3.7
1628970,Miles Bridges,CHA,27.0,64,31.7,20.3,7.3,17.0,0.431,2.2,7.0,0.313,3.5,4.0,0.87,3.9,2.1,7.5,-4.0
1630540,Miles McBride,NYK,24.0,64,24.9,9.5,3.5,8.5,0.406,1.8,4.9,0.369,0.8,1.0,0.813,2.9,0.6,2.5,3.3
1628420,Monté Morris,PHX,30.0,45,12.7,5.2,1.8,4.3,0.426,0.7,1.9,0.36,0.8,0.9,0.857,1.6,0.5,1.5,1.0
1630541,Moses Moody,GSW,23.0,74,22.3,9.8,3.3,7.7,0.433,1.7,4.6,0.374,1.4,1.8,0.797,1.3,0.7,2.6,1.8
1631217,Moussa Diabaté,CHA,23.0,71,17.5,5.7,2.4,3.9,0.596,0.0,0.1,0.0,1.0,1.6,0.595,0.8,0.9,6.2,-1.7
1626167,Myles Turner,IND,29.0,72,30.2,15.6,5.4,11.3,0.481,2.2,5.5,0.396,2.6,3.3,0.773,1.5,1.7,6.5,2.8
1630230,Naji Marshall,DAL,27.0,69,27.8,13.2,5.2,10.3,0.508,0.9,3.2,0.275,1.9,2.3,0.813,3.0,1.6,4.8,-2.0
1629675,Naz Reid,MIN,25.0,80,27.5,14.2,5.3,11.5,0.462,2.2,5.8,0.379,1.4,1.8,0.776,2.3,1.4,6.0,4.3
1629674,Neemias Queta,BOS,25.0,62,13.9,5.0,2.1,3.3,0.65,0.0,0.0,0.0,0.7,1.0,0.754,0.7,0.6,3.8,2.5
1629651,Nic Claxton,BKN,26.0,70,26.9,10.3,4.6,8.1,0.563,0.1,0.3,0.238,1.1,2.2,0.513,2.2,1.2,7.4,-7.1
1630208,Nick Richards,PHX,27.0,57,22.0,9.3,3.6,6.1,0.591,0.0,0.0,0.0,2.1,2.8,0.744,0.9,1.4,8.2,-4.1
1641733,Nick Smith Jr.,CHA,21.0,60,22.8,9.9,3.7,9.5,0.391,1.7,5.1,0.34,0.7,0.8,0.935,2.4,1.4,2.1,-6.6
1629638,Nickeil Alexander-Walker,MIN,26.0,82,25.3,9.4,3.3,7.5,0.438,1.7,4.5,0.381,1.1,1.4,0.78,2.7,1.2,3.2,3.3
201587,Nicolas Batum,LAC,36.0,78,17.5,4.0,1.3,3.1,0.437,1.1,2.6,0.433,0.2,0.3,0.81,1.1,0.4,2.8,1.9
203999,Nikola Jokić,DEN,30.0,70,36.7,29.6,11.2,19.5,0.576,2.0,4.7,0.417,5.2,6.4,0.8,10.2,3.3,12.7,8.5
1631107,Nikola Jović,MIA,22.0,46,25.1,10.7,3.7,8.2,0.456,1.7,4.6,0.371,1.6,1.9,0.828,2.8,1.3,3.9,-0.4
202696,Nikola Vučević,CHI,34.0,73,31.2,18.5,7.5,14.2,0.53,1.8,4.4,0.402,1.6,2.0,0.805,3.5,1.6,10.1,-1.3
1641730,Noah Clowney,BKN,20.0,46,22.7,9.1,2.9,8.1,0.358,1.9,5.7,0.333,1.5,1.7,0.838,0.9,1.0,3.9,-5.7
1626181,Norman Powell,LAC,32.0,60,32.6,21.8,7.6,15.8,0.484,3.0,7.1,0.418,3.6,4.4,0.804,2.1,1.8,3.2,5.9
1628384,OG Anunoby,NYK,27.0,74,36.6,18.0,6.6,13.9,0.476,2.3,6.2,0.372,2.5,3.1,0.81,2.2,1.4,4.8,4.1
1630167,Obi Toppin,IND,27.0,79,19.6,10.5,4.0,7.6,0.529,1.4,3.8,0.365,1.1,1.4,0.781,1.6,0.9,4.0,-1.0
1630534,Ochai Agbaji,TOR,25.0,64,27.2,10.4,4.2,8.3,0.498,1.6,4.0,0.399,0.5,0.8,0.708,1.5,0.8,3.8,-3.3
1641765,Olivier-Maxence Prosper,DAL,22.0,52,11.2,3.9,1.3,3.3,0.402,0.2,1.0,0.235,0.9,1.5,0.645,0.8,0.3,2.4,-2.0
1630168,Onyeka Okongwu,ATL,24.0,74,27.9,13.4,5.2,9.2,0.567,0.6,2.0,0.324,2.2,2.9,0.759,2.3,1.2,8.9,0.5
1631115,Orlando Robinson,TOR,24.0,44,17.5,6.9,2.6,5.9,0.444,0.4,1.2,0.327,1.2,1.6,0.771,1.8,1.1,5.0,-2.0
1642345,Oso Ighodaro,PHX,22.0,61,17.1,4.2,1.9,3.1,0.604,0.0,0.0,0.0,0.5,0.8,0.58,1.2,0.6,3.6,-0.3
1629023,P.J. Washington,DAL,26.0,57,32.2,14.7,5.3,11.7,0.453,1.6,4.2,0.381,2.5,3.5,0.722,2.3,2.1,7.8,0.9
1631094,Paolo Banchero,ORL,22.0,46,34.4,25.9,9.0,19.8,0.452,1.9,5.9,0.32,6.1,8.4,0.727,4.8,3.0,7.5,-0.5
1627783,Pascal Siakam,IND,31.0,78,32.7,20.2,7.9,15.2,0.519,1.6,4.2,0.389,2.9,3.9,0.734,3.4,1.4,6.9,4.0
1626192,Pat Connaughton,MIL,32.0,41,14.7,5.3,2.0,4.3,0.469,0.6,2.0,0.321,0.6,0.8,0.774,1.7,0.6,2.7,-0.3
1630172,Patrick Williams,CHI,23.0,63,25.0,9.0,3.3,8.2,0.397,1.5,4.3,0.353,1.0,1.3,0.723,2.0,1.4,3.8,-2.9
202331,Paul George,PHI,35.0,41,32.5,16.2,6.0,13.9,0.43,2.3,6.5,0.358,1.9,2.4,0.814,4.3,2.6,5.3,-2.0
1630194,Paul Reed,DET,26.0,45,9.7,4.1,1.6,3.2,0.507,0.2,0.6,0.286,0.7,0.9,0.762,1.0,0.6,2.7,1.0
1630202,Payton Pritchard,BOS,27.0,80,28.4,14.3,5.1,10.8,0.472,3.2,7.8,0.407,0.9,1.1,0.845,3.5,1.0,3.8,5.4
1641796,Pelle Larsson,MIA,24.0,55,14.2,4.6,1.6,3.7,0.438,0.6,1.7,0.337,0.7,1.1,0.672,1.2,0.4,1.7,0.2
1631212,Peyton Watson,DEN,22.0,68,24.3,8.1,3.0,6.3,0.477,0.7,2.0,0.353,1.4,2.0,0.693,1.4,0.8,3.4,-0.4
1630173,Precious Achiuwa,NYK,25.0,57,20.5,6.6,2.9,5.7,0.502,0.2,0.6,0.278,0.7,1.2,0.594,1.0,0.8,5.6,-0.8
1629656,Quentin Grimes,PHI,25.0,75,26.8,14.6,5.1,11.0,0.467,2.2,5.6,0.385,2.2,2.9,0.757,3.0,1.9,4.3,-3.5
1642366,Quinten Post,GSW,25.0,42,16.3,8.1,2.9,6.5,0.449,1.7,4.3,0.408,0.5,0.6,0.778,1.3,0.8,3.5,1.0
1629628,RJ Barrett,TOR,25.0,58,32.2,21.1,7.9,16.9,0.468,1.8,5.3,0.35,3.4,5.4,0.63,5.4,2.9,6.3,-2.4
1641712,Rayan Rupert,POR,21.0,52,8.8,3.0,1.1,2.7,0.408,0.3,1.1,0.271,0.4,0.6,0.767,0.5,0.6,1.3,-1.7
1642263,Reed Sheppard,HOU,21.0,52,12.6,4.4,1.6,4.6,0.351,0.9,2.7,0.338,0.3,0.3,0.813,1.4,0.7,1.5,-1.0
1641741,Ricky Council IV,PHI,23.0,73,17.1,7.3,2.4,6.3,0.382,0.8,2.9,0.258,1.7,2.1,0.804,1.3,0.7,2.9,-2.2
1642265,Rob Dillingham,MIN,20.0,49,10.5,4.5,1.9,4.3,0.441,0.5,1.5,0.338,0.2,0.3,0.533,2.0,1.1,1.0,0.4
1641842,Ronald Holland II,DET,19.0,81,15.6,6.4,2.4,5.1,0.474,0.4,1.9,0.238,1.1,1.5,0.754,1.0,0.9,2.7,-0.7
1626220,Royce O'Neale,PHX,32.0,75,24.5,9.1,3.2,7.6,0.423,2.4,5.9,0.406,0.3,0.3,0.731,2.2,0.9,4.7,-2.1
203497,Rudy Gobert,MIN,33.0,72,33.2,12.0,4.7,7.1,0.669,0.0,0.0,0.0,2.6,3.8,0.674,1.8,1.2,10.9,4.5
1629060,Rui Hachimura,LAL,27.0,59,31.7,13.1,5.0,9.8,0.509,1.7,4.2,0.413,1.5,1.9,0.77,1.4,0.8,5.0,2.7
201566,Russell Westbrook,DEN,36.0,75,27.9,13.3,5.0,11.1,0.449,1.3,3.9,0.323,2.1,3.1,0.661,6.1,3.2,4.9,-0.3
1642346,Ryan Dunn,PHX,22.0,74,19.1,6.9,2.8,6.4,0.43,1.1,3.6,0.311,0.3,0.5,0.487,0.8,0.5,3.6,-2.3
1631157,Ryan Rollins,MIL,22.0,56,14.6,6.2,2.4,4.8,0.487,0.9,2.1,0.408,0.6,0.8,0.8,1.9,0.9,1.9,1.5
1630573,Sam Hauser,BOS,27.0,71,21.7,8.5,3.0,6.7,0.451,2.3,5.6,0.416,0.2,0.2,1.0,0.9,0.3,3.2,4.6
1630241,Sam Merrill,CLE,29.0,71,19.7,7.2,2.4,6.0,0.406,1.9,5.2,0.372,0.4,0.4,0.966,1.5,0.5,2.2,4.5
1630572,Sandro Mamukelashvili,SAS,26.0,61,11.2,6.3,2.3,4.6,0.502,1.0,2.6,0.373,0.7,1.0,0.741,0.8,0.4,3.1,-0.5
1630583,Santi Aldama,MEM,24.0,65,25.5,12.5,4.8,10.0,0.483,1.8,5.0,0.368,1.0,1.4,0.691,2.9,1.1,6.4,2.3
1630703,Scoot Henderson,POR,21.0,66,26.7,12.7,4.3,10.4,0.419,1.6,4.5,0.354,2.4,3.1,0.767,5.1,2.7,3.0,-0.6
1630567,Scottie Barnes,TOR,23.0,65,32.8,19.3,7.3,16.4,0.446,1.2,4.3,0.271,3.5,4.6,0.755,5.8,2.8,7.7,-2.0
1630590,Scotty Pippen Jr.,MEM,24.0,79,21.3,9.9,3.6,7.5,0.48,1.1,2.8,0.397,1.5,2.2,0.713,4.4,1.7,3.3,0.6
203552,Seth Curry,CHA,34.0,68,15.6,6.5,2.4,5.0,0.478,1.2,2.7,0.456,0.5,0.6,0.846,0.9,0.5,1.7,-2.5
1631101,Shaedon Sharpe,POR,22.0,72,31.3,18.5,6.9,15.3,0.452,2.0,6.6,0.311,2.6,3.4,0.785,2.8,2.1,4.5,-1.9
1628983,Shai Gilgeous-Alexander,OKC,26.0,76,34.2,32.7,11.3,21.8,0.519,2.1,5.7,0.375,7.9,8.8,0.898,6.4,2.4,5.0,12.1
1629003,Shake Milton,LAL,28.0,57,14.7,5.5,2.0,4.5,0.453,0.7,1.9,0.358,0.8,1.0,0.797,1.8,0.7,1.8,-2.1
1631323,Simone Fontecchio,DET,29.0,75,16.5,5.9,2.0,5.0,0.402,1.0,3.0,0.335,0.9,1.1,0.833,0.9,0.7,2.9,0.2
203915,Spencer Dinwiddie,DAL,32.0,79,27.0,11.0,3.6,8.6,0.416,1.4,4.1,0.334,2.5,3.1,0.802,4.4,1.3,2.6,-2.8
201939,Stephen Curry,GSW,37.0,70,32.2,24.5,8.1,18.0,0.448,4.4,11.2,0.397,4.0,4.3,0.933,6.0,2.9,4.4,4.3
1642264,Stephon Castle,SAS,20.0,81,26.7,14.7,5.2,12.2,0.428,1.2,4.1,0.285,3.1,4.2,0.724,4.1,2.2,3.7,-3.0
203500,Steven Adams,HOU,31.0,58,13.7,3.9,1.6,2.9,0.545,0.0,0.0,0.0,0.7,1.6,0.462,1.1,0.9,5.6,3.0
204456,T.J. McConnell,IND,33.0,79,17.9,9.1,4.1,7.9,0.519,0.2,0.6,0.306,0.7,1.0,0.74,4.4,1.4,2.4,-0.7
1629659,Talen Horton-Tucker,CHI,24.0,58,12.5,6.5,2.3,5.0,0.457,0.7,2.1,0.336,1.2,1.7,0.735,1.4,0.7,1.7,0.3
1631106,Tari Eason,HOU,24.0,57,24.9,12.0,4.8,9.8,0.487,1.1,3.2,0.342,1.4,1.8,0.76,1.5,1.1,6.4,2.5
1627752,Taurean Prince,MIL,31.0,80,27.1,8.2,2.9,6.4,0.457,1.8,4.2,0.439,0.5,0.6,0.813,1.9,1.0,3.6,-0.3
1629611,Terance Mann,ATL,28.0,67,21.1,7.7,3.1,6.2,0.496,0.9,2.4,0.368,0.7,1.0,0.691,1.8,0.7,3.0,-1.4
1626179,Terry Rozier,MIA,31.0,64,25.9,10.6,3.9,9.9,0.391,1.4,4.8,0.295,1.4,1.7,0.852,2.6,1.2,3.7,-2.2
1628418,Thomas Bryant,IND,27.0,66,14.6,6.5,2.5,4.9,0.508,0.7,2.2,0.324,0.8,1.0,0.859,0.8,0.5,3.8,-0.6
1642275,Tidjane Salaün,CHA,19.0,60,20.7,5.9,1.9,5.8,0.33,1.0,3.4,0.283,1.1,1.6,0.713,1.2,1.0,4.7,-5.4
203501,Tim Hardaway Jr.,DET,33.0,77,28.0,11.0,3.6,8.8,0.406,2.2,5.9,0.368,1.6,1.9,0.855,1.6,0.6,2.4,0.3
202699,Tobias Harris,DET,32.0,73,31.6,13.7,5.3,11.0,0.477,1.2,3.6,0.345,2.0,2.3,0.861,2.2,1.2,5.9,2.6
1641739,Toumani Camara,POR,25.0,78,32.7,11.3,4.2,9.2,0.458,1.7,4.6,0.375,1.2,1.6,0.722,2.2,1.4,5.8,-1.5
1629027,Trae Young,ATL,26.0,76,36.0,24.2,7.4,18.1,0.411,2.9,8.4,0.34,6.5,7.4,0.875,11.6,4.7,3.1,0.4
1631218,Trayce Jackson-Davis,GSW,25.0,62,15.6,6.6,2.8,4.9,0.576,0.0,0.0,0.0,1.0,1.6,0.578,1.7,0.7,5.0,-1.0
1630200,Tre Jones,CHI,25.0,46,19.7,7.2,2.8,5.2,0.538,0.4,1.0,0.396,1.2,1.5,0.821,4.2,0.8,2.5,-0.7
1630570,Trendon Watford,BKN,24.0,44,20.7,10.2,3.7,8.0,0.469,0.7,2.0,0.33,2.1,2.8,0.762,2.6,1.9,3.6,-1.5
1626168,Trey Lyles,SAC,29.0,69,19.6,6.5,2.3,5.4,0.42,1.2,3.4,0.34,0.8,1.2,0.7,1.2,0.6,4.6,-1.0
1630530,Trey Murphy III,NOP,25.0,53,35.0,21.2,7.2,15.8,0.454,3.0,8.3,0.361,3.8,4.3,0.887,3.5,1.9,5.1,-7.2
202684,Tristan Thompson,CLE,34.0,40,8.2,1.7,0.8,1.8,0.437,0.0,0.1,0.0,0.2,0.8,0.233,0.6,0.4,3.4,-2.1
1641783,Tristan da Silva,ORL,24.0,74,22.0,7.2,2.7,6.5,0.412,1.1,3.2,0.335,0.7,0.9,0.873,1.5,0.8,3.3,-1.7
1629660,Ty Jerome,CLE,27.0,70,19.9,12.5,4.6,8.8,0.516,1.6,3.6,0.439,1.8,2.1,0.872,3.4,1.3,2.5,4.3
1629639,Tyler Herro,MIA,25.0,77,35.4,23.9,8.5,17.9,0.472,3.3,8.7,0.375,3.7,4.2,0.878,5.5,2.6,5.2,1.3
1642278,Tyler Kolek,NYK,24.0,41,7.2,2.0,0.7,2.0,0.329,0.3,1.1,0.298,0.3,0.4,0.765,1.7,0.4,0.7,0.0
1630169,Tyrese Haliburton,IND,25.0,73,33.6,18.6,6.5,13.8,0.473,3.0,7.7,0.388,2.6,3.0,0.851,9.2,1.6,3.5,3.0
1631213,Tyrese Martin,BKN,26.0,60,21.9,8.7,3.2,7.8,0.406,1.7,4.7,0.351,0.8,1.0,0.793,2.0,1.2,3.7,-4.3
1630178,Tyrese Maxey,PHI,24.0,52,37.7,26.3,9.2,21.0,0.437,3.1,9.2,0.337,4.9,5.6,0.879,6.1,2.4,3.3,-2.4
1626145,Tyus Jones,PHX,29.0,81,26.8,10.2,3.8,8.4,0.448,2.0,5.0,0.414,0.6,0.7,0.895,5.3,1.1,2.4,-1.1
203995,Vasilije Micic,PHX,31.0,41,19.1,6.6,2.3,6.7,0.348,1.1,3.0,0.36,0.8,1.0,0.829,3.1,1.9,2.2,-3.0
1641705,Victor Wembanyama,SAS,21.0,46,33.2,24.3,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,3.7,3.2,11.0,2.2
1630249,Vít Krejčí,ATL,25.0,57,20.2,7.2,2.5,5.1,0.497,1.6,3.6,0.437,0.6,0.8,0.711,2.6,0.9,2.7,-1.2
1631117,Walker Kessler,UTA,23.0,58,30.0,11.1,4.8,7.2,0.663,0.1,0.6,0.176,1.4,2.6,0.52,1.7,1.5,12.2,-5.7
1628976,Wendell Carter Jr.,ORL,26.0,68,25.9,9.1,3.3,7.2,0.46,0.5,2.3,0.234,1.9,2.6,0.737,2.0,1.1,7.2,-0.2
1642274,Yves Missi,NOP,21.0,73,26.8,9.1,3.7,6.7,0.547,0.0,0.0,0.0,1.7,2.8,0.623,1.4,1.1,8.2,-7.0
1642258,Zaccharie Risacher,ATL,20.0,75,24.6,12.6,4.8,10.4,0.458,1.6,4.6,0.355,1.4,2.0,0.711,1.2,1.2,3.6,-1.6
1628380,Zach Collins,CHI,27.0,64,15.3,6.4,2.4,4.7,0.507,0.5,1.7,0.302,1.1,1.2,0.885,1.7,0.9,4.5,-0.5
1641744,Zach Edey,MEM,23.0,66,21.5,9.2,3.8,6.6,0.58,0.3,0.8,0.346,1.4,1.9,0.709,1.0,1.3,8.3,2.5
203897,Zach LaVine,SAC,30.0,74,35.2,23.3,8.4,16.5,0.511,3.2,7.2,0.446,3.2,3.9,0.825,4.2,2.8,4.3,-0.9
1630192,Zeke Nnaji,DEN,24.0,57,10.7,3.2,1.2,2.5,0.496,0.3,0.9,0.327,0.5,0.8,0.614,0.4,0.2,1.6,-0.4
1630533,Ziaire Williams,BKN,23.0,63,24.5,10.0,3.4,8.3,0.412,1.6,4.8,0.341,1.6,2.0,0.821,1.3,1.1,4.6,-5.2
